OBJECTID,CODI_AJB,CODI_INE,GRUP_TVIA,T_Via,Desc_Via,N_Carrer,N_CarrerC,N_CarrerC2,NOM_indexOnomastic,DATA_APROV,NOTES_DATA,ParaulaClau_1,ParaulaClau_2,ParaulaClau_3,PAGINA_WIKIPEDIA,BIOGRAFIA_CAT,PAGINA_WIKIPEDIA2
3070,320103,03588,CARRERS,C,Carrer,Sant Tomàs,C de Sant Tomàs,Carrer Sant Tomàs,Tomàs (un dels dotze apòstols),,Abans de 1900,Ésser viu,Home,Religió,,Sant Tomàs (segle I). Un dels dotze apòstols.,
3074,320409,03592,CARRERS,C,Carrer,Sarasate,C de Sarasate,Carrer Sarasate,"Sarasate Nabaskués, Pablo de",06/05/1941,,Ésser viu,Home,Música,,"Pablo de Sarasate Nabaskués (Pamplona, 1844 - Biarritz, 1908). Violinista i compositor. Primer premi de violí a París (1857).",
3077,320602,03595,CARRERS,C,Carrer,Sargelet,C de Sargelet,Carrer Sargelet,"Sargelet, Gabrielle",,Abans de 1900,Ésser viu,Dona,Propietat,,"Gabrielle Sargelet (Cignac, segle XVIII). Mare de Josep Maignon i Sargelet, propietari dels terrenys de l'indret.",
3086,321300,03605,CARRERS,Ptge,Passatge,Saumell,Ptge de Saumell,Passatge Saumell,"Saumell i Llavallol, Emili",,,Ésser viu,Home,Propietat,,"Emili Saumell i Llavallol (Almeria, 1847 - Barcelona, 1915). Propietari. El 1896 comprà els terrenys a Francesc Cocas i Barau.",
3089,321605,03609,CARRERS,C,Carrer,Secretari Coloma,C del Secretari Coloma,Carrer Secretari Coloma,"Coloma, Joan de",07/07/1942,,Ésser viu,Home,Dret,https://ca.wikipedia.org/wiki/Joan_de_Coloma,"Joan de Coloma (Borja, 1442 - ?, 1515). Secretari de Joan II i protonotari de Ferran II. Intervingué en les capitulacions de Santa Fe (1492), les quals redactà i signà en nom dels monarques. Aquest fet va permetre a Colom fer el primer viatge. Afavorí la creació del Tribunal del Sant Ofici i fou partidari de l'expulsió dels jueus.",https://ca.wikipedia.org/wiki/Joan_de_Coloma
3102,322801,03622,CARRERS,C,Carrer,Sèneca,C de Sèneca,Carrer Sèneca,"Sèneca, Luci Anneu",,Abans de 1900,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Luci_Anneu_Sèneca,"Luci Anneu Sèneca, en llatí Lucius Annaeus Seneca (Còrdova, 4 aC - Roma, 65). Escriptor, filòsof i polític llatí. Qüestor l'any 31 dC.",https://ca.wikipedia.org/wiki/Luci_Anneu_Sèneca
3103,322903,03623,CARRERS,Ptge,Passatge,Senillosa,Ptge de Senillosa,Passatge Senillosa,"Pujol de Senillosa i de Vedruna, Manuel",,Abans de 1934,Ésser viu,Home,Propietat,,"Manuel Pujol de Senillosa i de Vedruna (Barcelona, 1834 - 1872). Propietari. Terreny procedent de la partida de Canyelles Casa Mantega. El carrer es dedicà originàriament a la casa de Senillosa: Fidel Pujol de Senillosa; Josep Pujol de Senillosa, i Gispert Manuel Pujol de Senillosa i Hernández Pons de Rocafull (Tarragona, ? - Barcelona, 1857).",
3106,323203,03626,CARRERS,C,Carrer,Sepúlveda,C de Sepúlveda,Carrer Sepúlveda,"Sepúlveda y Ramos, Francisco",,Abans de 1900,Ésser viu,Home,Dret,,"Francisco Sepúlveda y Ramos (Salamanca, 1819 - Madrid, 1894). Advocat i escriptor. Governador civil de Terol, Còrdova, Zamora, Alacant, Granada i Barcelona.",
3109,323509,03630,CARRERS,Ptge,Passatge,Serra i Arola,Ptge de Serra i Arola,Passatge Serra i Arola,"Serra i Arola, Joan",,,Ésser viu,Home,Propietat,,"Joan Serra i Arola (Manresa, 1853 - Barcelona, 1924). Propietari des de 1897 per la compra dels terrenys on s'obrí el passatge a Eusebi Güell i Bacigalupi.",
3110,323600,03631,CARRERS,C,Carrer,Serra Xic,C d'en Serra Xic,Carrer Serra Xic,"Serra, Bernat",,Abans de 1865,Ésser viu,Home,Propietat,,"Per Bernat Serra, conseller l'any 1346, que tenia propietats en l'indret. L'adjectiu xic s'hi va afegir per les dimensions del carrer.",
3111,323906,03633,CARRERS,Ptge,Passatge,Serrahima,Ptge de Serrahima,Passatge Serrahima,"Serrahima i Vila, Joan",,Abans de 1886,Ésser viu,Home,Propietat,,Joan Serrahima i Vila (1804 - 1883). Propietari que comprà quatre mujades i mitja a Miquel Massaguer Camps l'any 1857.,
3113,324104,03635,CARRERS,C,Carrer,Serrano,C de Serrano,Carrer Serrano,"Serrano Domínguez, Francisco",,,Ésser viu,Home,Noblesa,https://ca.wikipedia.org/wiki/Francisco_Serrano_Domínguez,"Francisco Serrano Domínguez (Jaén, 1810 - Madrid, 1883). Duc de la Torre, general i regent del Regne. Contribuí al triomf de les revolucions de 1854 i 1868.",https://ca.wikipedia.org/wiki/Francisco_Serrano_Domínguez
3115,324501,03639,CARRERS,C,Carrer,Servet,C de Servet,Carrer Servet,"Serveto Conesa, Miguel",05/09/1907,,Ésser viu,Home,Humanisme,https://ca.wikipedia.org/wiki/Miguel_Serveto_Conesa,"Miguel Serveto Conesa (Vilanova de Sixena, 1511 - Champel, 1553). Humanista, metge i teòleg. Escriví Christianismi Restitutio; en el llibre V donà una explicació sobre la circulació de la sang en el cos humà, motiu pel qual fou cremat per heretge.",https://ca.wikipedia.org/wiki/Miguel_Serveto_Conesa
3117,324705,03641,CARRERS,C,Carrer,Setantí,C de Setantí,Carrer Setantí,"Setantí, Lluís",18/05/1927,,Ésser viu,Home,Política,,"Lluís Setantí (vers el 1410 - 1490). Conseller en cap de Barcelona, navilier i marí. Família de mercaders, originaris de la ciutat de Lucca, establerts a Barcelona, on catalanitzaren el seu cognom primitiu, possiblement Accettanti.",
3119,324909,03643,CARRERS,C,Carrer,Sibiuda,C de Sibiuda,Carrer Sibiuda,"Sibiuda, Ramon",27/07/1960,,Ésser viu,Home,Filosofia,https://ca.wikipedia.org/wiki/Ramon_Sibiuda,"Ramon Sibiuda (? - 1436). Filòsof, mestre en arts, medicina i teologia, i llicenciat en dret canònic.",https://ca.wikipedia.org/wiki/Ramon_Sibiuda
3121,325107,03645,CARRERS,C,Carrer,Trelawny,C de Trelawny,Carrer Trelawny,"Trelawny, Henry",09/01/1993,,Ésser viu,Home,Militar,,Henry Trelawny. Oficial anglès. Defensor de Barcelona durant la Guerra de Successió (any 1705).,
3128,325800,03652,CARRERS,Ptge,Passatge,Simó,Ptge de Simó,Passatge Simó,"Simon i Ferrer, Francesca",,,Ésser viu,Dona,Propietat,,"Francesca Simon i Ferrer (Barcelona, 1798 - 1876). Propietària des de 1867 de terrenys de l'heretat Torre Vermella. Agustí Comellas i Francesca Simon foren propietaris de nou mujades i deu mundines, vuit dècimes de l'heretat, a principis del segle XIX.",
3129,325901,03654,CARRERS,C,Carrer,Simó Oller,C de Simó Oller,Carrer Simó Oller,"Simó Oller, Jaume",,Abans de 1865,Ésser viu,Home,Propietat,,"Jaume Simó Oller s'esmenta en una escriptura de 1326: adquirí terrenys i construí cases. El carrer s'esmenta ja, i amb el mateix nom, els anys 1367 i 1390.",
3135,326405,03668,GRANS VIES,Av,Avinguda,Sivatte,Av de Sivatte,Avinguda Sivatte,"Sivatte i Llopart, Manuel Maria de",,,Ésser viu,Home,Propietat,,"Manuel Maria de Sivatte i Llopart (Barcelona, 1866 - 1931). Advocat i propietari dels terrenys de l'indret, antiga propietat anomenada Quadra de Vallbona, domini directe del marquès de la Manresana.",
3137,326609,03670,CARRERS,C,Carrer,Sòcrates,C de Sòcrates,Carrer Sòcrates,Sòcrates,05/09/1907,,Ésser viu,Home,Filosofia,https://ca.wikipedia.org/wiki/Sòcrates,"Sòcrates (Atenes, ~470 aC - 399 aC). Filòsof grec. Fill de l'escultor Sofròniscos i d'una llevadora, Fenàrete. Després de la seva mort, proliferà la literatura basada en els seus diàlegs.",https://ca.wikipedia.org/wiki/Sòcrates
3138,326700,03671,CARRERS,Ptge,Passatge,Sòcrates,Ptge de Sòcrates,Passatge Sòcrates,Sòcrates,,,Ésser viu,Home,Filosofia,https://ca.wikipedia.org/wiki/Sòcrates,Per la mateixa dedicació que el carrer de Sòcrates.,https://ca.wikipedia.org/wiki/Sòcrates
3142,327000,03676,CARRERS,C,Carrer,Sol i Padrís,C de Sol i Padrís,Carrer Sol i Padrís,"Sol i Padrís, Josep",19/11/1929,,Ésser viu,Home,Industrial,https://ca.wikipedia.org/wiki/Josep_Sol_i_Padrís,"Josep Sol i Padrís o Pedrís (Barcelona. 1816 - 1855). Advocat, industrial i polític. Director de la fàbrica Güell de Sants, anomenada el Vapor Vell. Morí a conseqüència d'uns fets produïts en la vaga general de Barcelona del 2 de juliol de 1855.",https://ca.wikipedia.org/wiki/Josep_Sol_i_Padrís
3143,327102,03677,CARRERS,C,Carrer,Solà,C de Solà,Carrer Solà,"Solà i Puig, Felícia",23/11/1911,,Ésser viu,Dona,Propietat,,"Felícia Solà i Puig (Vilanova i la Geltrú, 1844 - Barcelona, 1899). Muller de Josep Gelabert i Cuyàs, el 1863, i de Joaquim Gelabert i Cuyàs, el 1868. Propietaris que cediren el terreny per a l'obertura del carrer.",
3145,327306,03679,CARRERS,C,Carrer,Solanes,C de Solanes,Carrer Solanes,"Solanes i Mas, Martí",,Abans de 1897,Ésser viu,Home,Propietat,,"Martí Solanes i Mas (Sant Boi de Llobregat, 1828 - Barcelona, 1891). Prevere i propietari en aquell indret des de 1879.",
3146,327408,03681,CARRERS,C,Carrer,Soler i Rovirosa,C de Soler i Rovirosa,Carrer Soler i Rovirosa,"Soler i Rovirosa, Francesc",05/09/1907,,Ésser viu,Home,Arts Escèniques,https://ca.wikipedia.org/wiki/Francesc_Soler_i_Rovirosa,"Francesc Soler i Rovirosa (Barcelona, 1836 - 1900). Escenògraf. Un dels principals fundadors de l'escola catalana d'escenografia realista.",https://ca.wikipedia.org/wiki/Francesc_Soler_i_Rovirosa
3147,327601,03683,CARRERS,Ptge,Passatge,Solsona,Ptge de Solsona,Passatge Solsona,"Solsona i Roda, Joan",,,Ésser viu,Home,Industrial,,"Joan Solsona i Roda (Puigverd, 1800 - Barcelona, 1881). Visqué al carrer del Duc de la Victòria (avui, Gavà), 55, al costat de la fàbrica de blanqueig de la qual era propietari. El succeí el seu fill Francesc Solsona i Nogués (Puigverd, 1821 - Barcelona, 1896). Industrial.",
3151,328003,03687,CARRERS,C,Carrer,Sor Eulàlia d'Anzizu,C de Sor Eulàlia d'Anzizu,Carrer Sor Eulàlia d'Anzizu,"Anzizu i Vila, Mercè",25/04/1945,,Ésser viu,Dona,Educació,,"Mercè Anzizu i Vila (Barcelona, 1868 - 1916). Professà al monestir de Pedralbes l'any 1889, on desenvolupà tots els càrrecs excepte el d'abadessa. Contribuí amb la seva fortuna, era filla d'una família molt rica, a la restauració del monestir i del sepulcre de la fundadora, la reina Elisenda.",
3153,328207,03689,CARRERS,C,Carrer,Sorolla,C de Sorolla,Carrer Sorolla,"Sorolla i Bastida, Joaquim",15/04/1961,,Ésser viu,Home,Pintura,https://ca.wikipedia.org/wiki/Joaquim_Sorolla_i_Bastida,"Joaquim Sorolla i Bastida (València, 1863 - Cercedilla, 1922). Pintor. Guardonat amb més de quinze premis arreu del món. Exposà a les principals ciutats d'Europa i d'Amèrica del Nord.",https://ca.wikipedia.org/wiki/Joaquim_Sorolla_i_Bastida
3154,328309,03690,CARRERS,C,Carrer,Sors,C de Sors,Carrer Sors,"Sors i Muntades, Josep Ferran",05/09/1907,,Ésser viu,Home,Música,https://ca.wikipedia.org/wiki/Josep_Ferran_Sors_i_Muntades,"Josep Ferran Sors i Muntades (Barcelona, 1778 - París, 1839). Guitarrista i compositor. El carrer també es coneix amb el nom de carrer de les Sors o Darderes, per les germanes de la Nativitat de Nostra Senyora, la casa de les quals se situava en aquell carrer.",https://ca.wikipedia.org/wiki/Josep_Ferran_Sors_i_Muntades
3155,328400,03691,CARRERS,C,Carrer,Sostres,C de Sostres,Carrer Sostres,"Sostres i Malzac, Victorià",,Abans de 1900,Ésser viu,Home,Dret,,"Victorià Sostres i Malzac (Sort, 1864 - Barcelona, 1907). Advocat. Casat amb Maria Assumpció Maignon i Martí, coneguda com a Emília, propietària dels terrenys on s'obrí el carrer.",
3158,328706,03694,CARRERS,C,Carrer,Sots-tinent Navarro,C del Sots-tinent Navarro,Carrer Sots-tinent Navarro,"Navarro, Josep",07/03/1939,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Josep_Navarro,"Josep Navarro (Novelda, vers el 1770 - 1809). Heroi de la guerra del Francès. Pertanyia al regiment d'infanteria de Sòria i anteriorment havia format part del de Sarrià. Guanyà el grau de sotstinent per la ferida rebuda  quan es lliurà en la lluita a Molins de Rei. Executat el 1809.",https://ca.wikipedia.org/wiki/Josep_Navarro
3159,328808,03695,CARRERS,C,Carrer,Sugranyes,C de Sugranyes,Carrer Sugranyes,"Sugrañes i Fernàndez, Victorià",05/09/1907,,Ésser viu,Home,Militar,,"Victorià Sugrañes i Fernàndez (Reus, 1807 - Tetuan, 1860). Militar del cos de voluntaris catalans sota les ordres del baró de Meer, el qual li concedí la Creu de San Fernando (1839), i del general Van Halen (1840). Es llicencià el 1844 amb el grau de comandant. Morí a la batalla de Tetuan sota les ordres del general Prim.",
3161,329006,03697,CARRERS,C,Carrer,Suñol i Gras,C de Suñol i Gras,Carrer Suñol i Gras,"Suñol i Gros, Josep",28/02/1958,,Ésser viu,Home,Propietat,,"Josep Suñol i Gros (Barcelona, 1845 - 1922). Propietari i agent de compravenda de finques en aquells indrets. Carrer situat en l'antic paratge anomenat les forques del coll de la Trinitat, entre els carrers del Pare Pérez del Pulgar i del Torrent de Perera.",
3168,329902,03707,CARRERS,C,Carrer,Tamarit,C de Tamarit,Carrer Tamarit,"Tamarit i de Rifà, Francesc de",,Abans de 1865,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Francesc_de_Tamarit_i_de_Rifà,"Francesc de Tamarit i de Rifà (Barcelona, 1600 - 1653). Militar i polític. Castlà de Montclar, diputat i defensor de Barcelona el 1641 mentre Fontanella era conseller en cap i Pau Claris, president de la Generalitat.",https://ca.wikipedia.org/wiki/Francesc_de_Tamarit_i_de_Rifà
3174,330504,03713,CARRERS,C,Carrer,Tapioles,C de Tapioles,Carrer Tapioles,Tapioles,,Any 1871,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Tapioles,"Un dels membres de la guarnició de Montjuïc que vencé els castellans el 1641, durant la Guerra dels Segadors.",https://ca.wikipedia.org/wiki/Tapioles
3176,330708,03715,CARRERS,C,Carrer,Taquígraf Garriga,C del Taquígraf Garriga,Carrer Taquígraf Garriga,"Garriga i Marill, Pere",26/06/1929,,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Pere_Garriga_i_Marill,"Pere Garriga i Marill (Esparreguera, 1842 - Barcelona, 1890). Eclesiàstic, doctor en dret i filosofia i lletres, i taquígraf. Com a coadjutor de l'església de Sant Miquel del Port, el 1870, assistí els malalts en l'epidèmia de febre groga. Poc mesos després, fou destinat a la parròquia de Sant Josep de Gràcia. Durant els bombardejos del setge a la vila dugué el viàtic als malalts i ferits.",https://ca.wikipedia.org/wiki/Pere_Garriga_i_Marill
3177,330800,03716,CARRERS,C,Carrer,Taquígraf Martí,C del Taquígraf Martí,Carrer Taquígraf Martí,"Martí i Móra, Francesc de Paula",22/03/1929,,Ésser viu,Home,Taquigrafia,,"Francesc de Paula Martí i Móra (Xàtiva, 1761 - Lisboa, 1827). Introductor de l'estenografia. Fundà i dirigí una escola de taquigrafia a Madrid. Escriví diverses obres de teatre.",
3178,330901,03717,CARRERS,C,Carrer,Taquígraf Serra,C del Taquígraf Serra,Carrer Taquígraf Serra,"Ginesta i Alenyà, Francesc",26/06/1929,,Ésser viu,Home,Taquigrafia,,"Francesc (Serra) Ginesta i Alenyà (Olot, 1765 - Barcelona, 1836). Taquígraf i advocat. Director de l'Escola de Taquigrafia (1805). Serra era el renom de la família.",
3188,331904,03727,CARRERS,Ptge,Passatge,Tasso,Ptge de Tasso,Passatge Tasso,"Tasso i Gonyalons, Lluís",,Abans de 1900,Ésser viu,Home,Propietat,,"Lluís Tasso i Gonyalons (Maó, 1817 - Barcelona, 1880). Tipògraf, editor i propietari dels terrenys on s'obrí el carrer. Matilde de Gayolà i de Delàs establí en emfiteusi el terreny on s'obrí el passatge el 1871.",
3191,332204,03730,CARRERS,C,Carrer,Tavern,C de Tavern,Carrer Tavern,"Tavern i Nuñez-Pastor, Nicolasa",27/09/1876,,Ésser viu,Dona,Propietat,,"Nicolasa Tavern i Nuñez-Pastor (Oviedo, 1800 - Barcelona, ?). Propietària dels terrenys.",
3193,332408,03732,PLACES,Pl,Plaça,Taxonera,Pl de Taxonera,Plaça Taxonera,"Taxonera i Cassà, Joaquim",08/10/1996,,Ésser viu,Home,Industrial,,"Joaquim Taxonera i Cassà (Arenys de Mar, 1858 - Barcelona, 1934). Fabricant de calçat i propietari de les terres de Can Grau d'aquest indret, de les quals sol·licità la urbanització segons un projecte aprovat el 31 de desembre de 1902. El cognom és, evidentment, adulteració de la grafia correcta teixonera, cau dels teixons. En el nomenclàtor de 1980, s'aprovà amb el nom de plaça de la Teixonera. Se'n modificà el nom a petició del districte, veïns i familiars.",
3202,333400,03744,CARRERS,C,Carrer,González Tablas,C de González Tablas,Carrer González Tablas,"González-Tablas y García-Herreros, Santiago",26/03/1982,,Ésser viu,Home,Militar,,"Santiago González-Tablas y García-Herreros (Pamplona, 1879 - Taxarut, 1922). Tinent coronel d'infanteria a la guerra d'Àfrica. Morí en el camp de batalla durant la conquesta de la posició d'Ain el Grana.",
3203,333604,03745,CARRERS,C,Carrer,John M. Keynes,C de John M. Keynes,Carrer John M. Keynes,"Keynes, John M.",03/06/2014,,Ésser viu,Home,Economia,https://ca.wikipedia.org/wiki/John_M._Keynes,"Economista i professor (Cambridge, 1883 - Sussex, 1946). Per acabar amb l'atur apostà per una política governamental intervencionista, polítiques que foren aplicades a Gran Bretanya fins al 1970, en base a un rellançament del consum, l'increment de les inversions públiques i la reducció del tipus d'interès. La seva teoria va representar una visió global de l'economia, que fou aplicada en nombrosos països. Destaquem les seves obres Tractat sobre la moneda, Teoria general de l'ocupació, l'interès i el diner.",https://ca.wikipedia.org/wiki/John_M._Keynes
3204,333706,03746,CARRERS,Ptge,Passatge,Tinent Costa,Ptge del Tinent Costa,Passatge Tinent Costa,"Costa Blasco, Vicent",,Abans de 1950,Ésser viu,Home,Militar,,"Vicent Costa Blasco (Museros, 1888 - Barcelona, 1938). Promotor de la Cooperativa de Cases Barates per a militars. El passatge es troba en un dels grups.",
3205,333808,03747,CARRERS,C,Carrer,Tinent Flomesta,C del Tinent Flomesta,Carrer Tinent Flomesta,"Flomesta y Moya, Diego de",14/06/1927,,Ésser viu,Home,Militar,,"Diego de Flomesta y Moya (Bullas, 1890 - mont Abarran, 1921). Tinent d'artilleria. Defensor del mont Abarran. Després d'una heroica resistència i ferit de mort, inutilitzà les peces d'artilleria per evitar que passessin a mans de l'enemic.",
3206,333900,03748,CARRERS,C,Carrer,Tenor Masini,C del Tenor Masini,Carrer Tenor Masini,"Masini, Angelo",07/03/1939,,Ésser viu,Home,Música,https://ca.wikipedia.org/wiki/Angelo_Masini,"Angelo Masini (Terra del Sole, 1844 - Forlì, 1926). Tenor. Actuà al Liceu de Barcelona de 1882 a 1887. El 30 d'octubre de 1886, obtingué un gran èxit amb l'estrena de l'òpera Faust. Es retirà el 1905.",https://ca.wikipedia.org/wiki/Angelo_Masini
3207,334006,03749,CARRERS,C,Carrer,Tenor Viñas,C del Tenor Viñas,Carrer Tenor Viñas,"Viñas i Dordal, Francesc",07/07/1942,,Ésser viu,Home,Música,https://ca.wikipedia.org/wiki/Francesc_Viñas_i_Dordal,"Francesc Viñas i Dordal (Moià, 1863 - 1933). Debutà al Liceu de Barcelona el 1888. Corresponsal a Roma del diari El Noticiero Universal. L'any 1905 instaurà a Moià la Festa de l'Arbre Fruiter.",https://ca.wikipedia.org/wiki/Francesc_Viñas_i_Dordal
3208,334108,03750,CARRERS,C,Carrer,Teodora Lamadrid,C de Teodora Lamadrid,Carrer Teodora Lamadrid,"Herbella, Teodora",05/09/1907,,Ésser viu,Dona,Arts Escèniques,,"Teodora Herbella (Saragossa, 1821 - Madrid, 1896). Actriu. Juntament amb la seva germana Bárbara, adoptà el nom artístic de Lamadrid, que els posà el seu pare. Ocupà una càtedra de declamació al Conservatori de Madrid.",
3209,334301,03752,CARRERS,C,Carrer,Teodor Bonaplata,C de Teodor Bonaplata,Carrer Teodor Bonaplata,"Bonaplata, Teodor",29/03/1922,,Ésser viu,Home,Arts Escèniques,https://ca.wikipedia.org/wiki/Teodor_Bonaplata,"Teodor Bonaplata (Barcelona, 1841 - 1903). Actor. Protagonista d'algunes de les millors obres d'Àngel Guimerà.",https://ca.wikipedia.org/wiki/Teodor_Bonaplata
3210,334403,03753,CARRERS,C,Carrer,Teodor Llorente,C de Teodor Llorente,Carrer Teodor Llorente,"Llorente i Olivares, Teodor",29/03/1922,,Ésser viu,Home,Poesia,https://ca.wikipedia.org/wiki/Teodor_Llorente_i_Olivares,"Teodor Llorente i Olivares (València, 1836 - 1911). Poeta, periodista i polític. Advocat, diputat a Corts i senador electe (1896). President i mantenidor dels Jocs Florals de Barcelona, i president de Lo Rat Penat.",https://ca.wikipedia.org/wiki/Teodor_Llorente_i_Olivares
3211,334505,03754,CARRERS,C,Carrer,Teodor Roviralta,C de Teodor Roviralta,Carrer Teodor Roviralta,"Roviralta i Figueres, Teodor",,Abans de 1927,Ésser viu,Home,Propietat,,"Teodor Roviralta i Figueres (Molins de Rei, 1854 - Lloret de Mar, 1920). Propietari de l'indret i soci fundador de la societat El Tibidabo.",
3215,334800,03759,CARRERS,C,Carrer,Terré,C de Terré,Carrer Terré,Terré,25/09/1931,,Ésser viu,Home,Política,,"Per un prohom barceloní que intervingué l'any 1472 en la capitulació de Barcelona amb Joan II, la qual es firmà a Pedralbes.",
3220,335406,03765,CARRERS,C,Carrer,Thous,C de Thous,Carrer Thous,"Tous i Miralpeix, Nicolau",08/09/1917,,Ésser viu,Home,Empresariat,,"Nicolau Tous i Miralpeix (Barcelona, 1817 - 1893). Impulsor de l'expansió industrial catalana. Fou un dels fundadors de La Maquinista Terrestre i Marítima, fundada el 1855. L'empresa va sorgir de la fusió dels Tallers la Barcelonesa ?societat propietat de Valentí Esparó Giralt, adquirida el 1839? amb la companyia Bonaplata ?fundada el 1838 per Nicolau Tous i Miralpeix, i Celedoni Ascacíbar, coneguda com Tous, Ascacíbar y Cía.",
3230,336307,03778,CARRERS,C,Carrer,Tirso de Molina,C de Tirso de Molina,Carrer Tirso de Molina,"Téllez, Gabriel",,Abans de 1900,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Gabriel_Téllez,"Fra Gabriel Téllez (Madrid, 1584 - Almazán, 1648). Autor dramàtic conegut amb el nom de Tirso de Molina. Comanador del convent de Trujillo (1626) i del de Sòria, i provincial de Castella.",https://ca.wikipedia.org/wiki/Gabriel_Téllez
3232,336500,03780,CARRERS,C,Carrer,Ticià,C de Ticià,Carrer Ticià,"Vecellio, Tiziano",05/09/1907,,Ésser viu,Home,Pintura,https://ca.wikipedia.org/wiki/Tiziano_Vecellio,"Tiziano Vecellio (Pieve di Cadore, 1487/1490 - Venècia, 1576). Pintor. Mestre de l'escola veneciana i un dels genis de la pintura universal. Fou nomenat pintor oficial de la República Sereníssima.",https://ca.wikipedia.org/wiki/Tiziano_Vecellio
3233,336704,03781,CARRERS,C,Carrer,Tubella,C de Tubella,Carrer Tubella,"Tubella i Soler, Joan",01/10/1924,,Ésser viu,Home,Propietat,,"Joan Tubella i Soler (Igualada, 1877 - Barcelona, 1925). Propietari dels terrenys on s'obrí el passatge i, per prolongació, el carrer. Ambdós es troban separats pel carrer de Novell.",
3241,337401,03789,CARRERS,C,Carrer,Tolrà,C de Tolrà,Carrer Tolrà,"Tolrà i Fornés, Antoni",31/05/1922,,Ésser viu,Home,Propietat,,Antoni Tolrà i Fornés. President de l'entitat Foment de la Barriada del Mont Carmel i els seus Entorns. Propietari dels terrenys des de 1898.,
3242,337503,03790,CARRERS,C,Carrer,Tomàs Mieres,C de Tomàs Mieres,Carrer Tomàs Mieres,"Mieres, Tomàs",04/02/1931,,Ésser viu,Home,Dret,https://ca.wikipedia.org/wiki/Tomàs_Mieres,"Tomàs Mieres (Girona, 1400 - Barcelona, 1474). Jurista. Conseller i fiscal d'Alfons el Magnànim. Defensor de les llibertats ciutadanes: lluità contra l'existència dels serfs de la gleva.",https://ca.wikipedia.org/wiki/Tomàs_Mieres
3243,337605,03791,CARRERS,C,Carrer,Tomàs Padró,C de Tomàs Padró,Carrer Tomàs Padró,"Padró i Pedret, Tomàs",05/09/1907,,Ésser viu,Home,Arts Plàstiques,https://ca.wikipedia.org/wiki/Tomàs_Padró_i_Pedret,"Tomàs Padró i Pedret (Barcelona, 1840 - 1877). Dibuixant i pintor.",https://ca.wikipedia.org/wiki/Tomàs_Padró_i_Pedret
3248,338302,03797,CARRERS,C,Carrer,Topete,C de Topete,Carrer Topete,"Topete y Carballo, Juan Bautista",,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Juan_Bautista_Topete_y_Carballo,"Juan Bautista Topete y Carballo (San Andrés de Tuxtla, 1821 - Madrid, 1885). Marí i polític. Inicià la Revolució de 1868. Ministre de Marina i d'Ultramar. En el període de la Restauració fou nomenat senador i vicealmirall (1881).",https://ca.wikipedia.org/wiki/Juan_Bautista_Topete_y_Carballo
3251,338700,03800,CARRERS,C,Carrer,Torné,C de Torné,Carrer Torné,"Torné i Pascual, Ferran",,Abans de 1939,Ésser viu,Home,Propietat,,Ferran Torné i Pascual. Propietari en el paratge Coll Blanc de la mitja mujada de terra on s'obrí el passatge.,
3252,338743,03801,CARRERS,Ptge,Passatge,Torné,Ptge de Torné,Passatge Torné,"Torné i Pascual, Ferran",,Abans de 1960,Ésser viu,Home,Propietat,,Per la mateixa dedicació que el carrer de Torné.,
3254,339000,03805,CARRERS,Ptge,Passatge,Torras i Bages,Ptge de Torras i Bages,Passatge Torras i Bages,"Torras i Bages, Josep",,,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Josep_Torras_i_Bages,Per la mateixa dedicació que el passeig de Torres i Bages.,https://ca.wikipedia.org/wiki/Josep_Torras_i_Bages
3255,339101,03806,GRANS VIES,Pg,Passeig,Torras i Bages,Pg de Torras i Bages,Passeig Torras i Bages,"Torras i Bages, Josep",20/12/1979,,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Josep_Torras_i_Bages,"Josep Torras i Bages (les Cabanyes, 1846 - Vic, 1916). Eclesiàstic, escriptor i filòsof. Bisbe de Vic el 1899. Intervingué en la redacció de les Bases de Manresa (1892) com a delegat de les entitats catalanistes de Barcelona, ciutat on exercí una intensa labor pastoral i intel·lectual. Fou membre de l'Acadèmia de Belles Arts i de l'Acadèmia de Bones Lletres de Barcelona.",https://ca.wikipedia.org/wiki/Josep_Torras_i_Bages
3256,339203,03807,CARRERS,C,Carrer,Torras i Pujalt,C de Torras i Pujalt,Carrer Torras i Pujalt,"Torras i Pujalt, Joaquim",,Abans de 1900,Ésser viu,Home,Medicina,,"Joaquim Torras i Pujalt (Sabadell, 1855 - Barcelona, 1937). Doctor en medicina i cirurgia. Marit de Josepa Ganduxer i Carrencà, propietària dels terrenys on s'obrí el carrer.",
